guid,body,rating,author,created,categories,entity_id,date,name
4d669495-43d8-4928-81d8-287b4dccf2d5,"Amherst College no longer has official/off-campus-but-still-open-to-the-administration Greek life. There are a couple underground frats which still live together and throw parties, and their membership is generally known to most students, but they have no official events or organization. It's unclear how long they will last with this status. There are no sororities. Recently, a pilot program of five social clubs have been founded. These are basically co-ed fraternities that are directly controlled/funded by the college. The aim of these is to provide more social options for Amherst students and encourage students to meet people outside of particular interest/activity groups (BSU, GAP, orchestra, sports teams) while not letting them develop the apparent exclusivity of the former fraternities. Time will tell if these clubs improve social life at Amherst or just further increase the way that students here tend to categorize themselves and ignore potential relationships outside their existing groups.",negative,Sophomore,2016-03-11 11:08:08,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
0f2fefa4-d3e9-4770-a5e9-cd1df005315c,it is not available except in underground which is grounds for expulsion,negative,Sophomore,2016-01-25 15:18:05,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
ace8d33c-0ddc-48dc-b054-9af8402a8f47,"Compared to other colleges, the party scene at Amherst is atrocious. The trustees' resolution banning fraternities combined with the scheduled demolition of the social dormitories guarantees there will be no party scene at Amherst within the next few years. I am thoroughly perplexed by the administration's decisions: the Amherst social scene has been on a steady decline for the last decade, and they have done nothing to fix it other than to build the mediocre Powerhouse, which has had no real effect other than limiting the party scene to 2am. Furthermore, Saturday night is really the only night worth going out on, and even then, there are some Saturdays where there is literally nothing going on. I actually pity future Amherst classes that will have absolutely no options for partying. Parties are an integral part of college life and provide an important outlet for stress; if the administration does not figure something out in the coming years, parties will cease to exist. Do not come to this school if you are looking forward to partying in college because you will be thoroughly disappointed.",negative,Freshman,2015-04-26 02:25:30,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
d58479fd-4fce-418e-8f25-da977c4397d6,"buildings aren't very well taken care of, ratty and don't have very good parking.",negative,Sophomore,2014-06-29 21:00:47,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2014,Amherst College
f3240e44-ddd6-4a64-8803-67d675d22f8a,The social life here is truly awful.,negative,Senior,2014-05-10 01:58:10,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2014,Amherst College
0026e7d0-825c-4e1e-8440-c11395ef9868,"Nobody really lives off-campus. The college guarantees housing, and it only allows 50 people to live off-campus each year anyways.",negative,Freshman,2014-02-13 23:52:10,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2014,Amherst College
cea3f7ff-4975-4868-b1f7-259755c3c0d1,"98% of Amherst students live on-campus. Off-campus housing exists, but it's usually for students with special conditions or situations. It's available, but usually not worth it. Practically everyone just lives in dorms.",negative,Sophomore,2012-12-05 11:18:02,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2012,Amherst College
93d3ef7e-94f3-4672-9c76-583b449b88f1,too much drinking   it is not positive at all,negative,Sophomore,2016-01-25 15:38:22,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
419f057a-0a48-43ef-ba03-b23ab7f37c54,too much   drinking,negative,Sophomore,2016-01-25 15:33:44,Safety,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
40bcb7c4-6e08-4b1c-9e06-254807b8d955,"Following the trustees' resolution to ban fraternities, Greek life is technically non-existent, but there are still remnants of fraternities if you look hard enough.",negative,Freshman,2015-04-26 02:45:16,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
23b67fea-ad74-46dd-907d-903d518f3ab9,It is pretty bad all around unless you have a good group of friends.,negative,Freshman,2015-04-01 23:08:41,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
123ff8df-ced4-41be-b54c-496bffe5d61d,"It's pretty tame around here, and parties get a little repetitive. There are 21+ bars and clubs, particularly in Northampton, but for most of your undergrad life you won't be able to get into the fun ones. School-wide parties thrown by student organizations are generally the best, since everyone comes and there's great music. UMass is really easy to get to and has large parties, but it's only easy to go if you know someone there. A lot of parties take place in the socials, but honestly these are not great. A lot of really drunk kids in a very small space with bad music- if this is your scene, perfect. If not, and you love to party, you probably want to go somewhere else.",negative,Sophomore,2013-03-31 02:37:10,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2013,Amherst College
0da9019c-138a-4cc0-a998-426f8f5c443f,"I don't play a sport at school and don't really talk to athletes on campus, so I can't say much. People do attend some games, but not often since student-athletes and rest of the campus don't really talk to each other. Teams are tight and don't really expend energy to communicate with people not on the teams; non-athletes usually find friends on their own. The only large event where the whole school congregates is out Homecoming game. And even then, it's not for the sports, but for the atmosphere.",neutural,Junior,2016-07-24 14:22:08,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
792b1493-4788-4623-aee2-c5957c26bbfe,The freshmen dorms are great. The renovated dorms are better than the old ones. It's a mix of old and new.,neutural,Freshman,2016-03-16 11:57:03,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
84880078-1458-4097-b233-2a137986cd72,"I feel very safe on campus, and I definitely feel that the AC Police are there to protect students, not punish them. The campus health center, however, I have found generally unhelpful and inconvenient. They have unreasonable hours for serving a student population that is in class during the day (they close for a full hour during lunch and close for the day at 4:30 pm). The process for getting a prescription there is so convoluted and difficult that I've just started getting mine at the CVS in town.",neutural,Sophomore,2016-03-11 11:32:37,Safety,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
f6c7047e-b9e1-4d73-b3f0-4c15ea637a9e,"The physical condition of most dorms is great. They're well maintained, clean, and usually spacious. The furthest dorms from campus are still only about a 10 minute walk through a safe area. Furthermore, dorm RCs are, at least in my experience, helpful when you need them, but not too nosy or heavy handed. Generally, if you don't regularly make a mess, cause dorm damage, or disturb your hall mates, they will give you a pass on most things. Room draw can be a stressful process, especially if you have a big group, but the college seems to be doing all it can to streamline it and make it as fair as possible. I do think that many of the dorms are lacking in amenities, especially upperclassmen dorms. It seems a little basic to put things like water fountains and vending machines in all dorms. Some of the common rooms are also under furnished and not containing many incentives for students to gather there. Something like a ping pong table or foosball would definitely turn many common rooms into more of a social space rather than a place for one or two people to quietly study. Also, several dorms don't have elevators, so if you suffer an injury during the school year, good luck? Finally, the social atmosphere in dorms can be very hit or miss. Some freshman dorms (particularly when the whole building is sub-free) form close bonds and stay friends throughout their time at Amherst. Others (Pratt) seem to have trouble forming a community.",neutural,Sophomore,2016-03-11 11:21:18,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
ebdf6375-4656-4376-8a67-17b50aa30262,we hear about things more in the news than from the administration,neutural,Sophomore,2016-01-25 15:27:06,Safety,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
d387c71a-3d7c-403f-8e99-37f0e23e8ee4,houses vary greatly as to location and improvements,neutural,Sophomore,2016-01-25 15:19:41,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
7799fb0c-89b8-4acc-b5ee-3d3a6865b3a5,hours of availability for non athletes are very limited,neutural,Sophomore,2016-01-25 15:17:16,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2016,Amherst College
a5b925b7-9aa4-4039-ac5d-665e119db293,"Being that Amherst is known for its academics, you won't find swaths of attractive people here. That being said, there are some decent looking people, especially athletes, that can be found on campus. There is definitely a hook-up culture at Amherst, but that does not prevent people from entering into serious or long-term relationships.",neutural,Freshman,2015-04-26 02:56:42,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
235df042-1376-40b6-9fc0-d13fa459482f,"The administration has a somewhat lenient alcohol policy, with Amherst campus police officers only shutting down parties if they get truly out of hand or if there are illicit items present. However, campus police officers will not hesitate to write-up underage drinkers if they catch you walking around with alcohol on campus, which is a shame because they must have something better they could be doing rather than making underage students' lives miserable.",neutural,Freshman,2015-04-26 02:03:20,social_life,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
e0398bbb-efc9-400d-b029-2a52a2037061,"The food at Amherst is a mixed bag. Valentine Hall, the only dining hall and real food option on campus, has its ups and downs; it certainly does not compare to the gourmet and world-renowned cuisine I grew up eating in California. That being said, I applaud the school's efforts in attempting to provide something for everyone at Val. I would recommend avoiding Val's more ""ethnic"" foods - there are some dishes that just should not be attempted by a college in rural western Massachusetts. Schwemm's Coffee House, a supplement to Val rather than an alternative dining option, has decent sandwiches and typical bistro snacks. One complaint I have heard from upperclassmen is that the school is very adamant about letting people off the meal plan. Unfortunately, one can only eat at Val for so long before he or she decides to spend money in town on food.",neutural,Freshman,2015-04-26 01:48:20,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
3a923aa6-eeab-4b1d-a58f-d7bfe3175d08,Val gets a bad reputation but its okay. There are very few other options which adds to the dilemma though.,neutural,Freshman,2015-04-01 23:05:07,campus_facilities,127ec524-4bac-4a5c-a7f5-1ead9c309f44,2015,Amherst College
